评分,制片国家/地区,编剧,片长,评论人数,导演,类型,又名,语言,IMDb,上映日期,片名,主演
7.2, 中国大陆, 缪倩 / 宋灏霖, 111分钟,124747, 宋灏霖, 喜剧 / 运动, 五个扑水的少年中国版 / Water Boys, 汉语普通话, tt15163768, 2021-10-01(中国大陆),五个扑水的少年, 辛云来 / 冯祥琨 / 李孝谦 / 吴俊霆 / 王川 / 辛柏青 / 代乐乐 / 衣云鹤 / 缪纪君 / 林鹏 / 王晴 / 韩秋池 / 姜永波 / 李大光 / 常海波 / 吴一逊 / 寇孑 / 周云枫 / 刘德昌 / 汪卓 / 邵逸凡
8.4, 中国大陆, 饺子 / 易巧 / 魏芸芸, 110分钟,1698119, 饺子, 剧情 / 喜剧 / 动画 / 奇幻,, 汉语普通话, tt10627720, 2019-07-26(中国大陆) / 2019-07-13(大规模点映),哪吒之魔童降世, 吕艳婷 / 囧森瑟夫 / 瀚墨 / 陈浩 / 绿绮 / 张珈铭 / 杨卫
5.0, 中国大陆, 朱历 / 秦语谦,,196666, 柯汶利, 剧情, Psychologist, 汉语普通话,,,女心理师, 杨紫 / 井柏然 / 王嘉 / 菅纫姿 / 黄觉 / 倪萍 / 张钧甯 / 马苏 / 杨童舒 / 柳小海 / 张瑶 / 张海宇 / 章若楠 / 汪飏 / 代文雯 / 韩昊霖 / 张熙然 / 杨新鸣 / 杨雨婷 / 林鹏 / 李梦 / 田原 / 谢承颖 / 陈玺旭 / 沈浩 / 彭高唱 / 袁满 / 陆宇鹏 / 李柄辉 / 李果 / 付柔美琦 / 蒋梓乐 / 汤梦佳 / 耿艺展 / 肖琬婷 / 秋千 / 黄梓颀 / 尹冠淇
5.9, 中国大陆, 耿军 / 刘兵, 118分钟,30570, 耿军, 剧情 / 喜剧, Manchurian Tiger, 汉语普通话, tt10097312, 2022-01-14(中国大陆) / 2021-06-16(上海电影节),东北虎, 章宇 / 马丽 / 张志勇 / 徐刚 / 郭月 / 张迅 / 袁利国 / 薛宝鹤
5.0, 中国大陆, 王安忆 / 张爱玲, 144分钟,110592, 许鞍华, 剧情 / 爱情, 沉香屑·第一炉香 / Love After Love, 汉语普通话 / 英语 / 葡萄牙语, tt10415576, 2021-10-22(中国大陆) / 2020-09-08(威尼斯电影节),第一炉香, 马思纯 / 俞飞鸿 / 彭于晏 / 张钧甯 / 范伟 / 梁洛施 / 张佳宁 / 尹昉 / 秦沛 / 白冰 / 宋以朗 / 许子东
7.8, 中国大陆, 王小枪,,99087, 卢伦常, 剧情 / 悬疑, Enemy, 汉语普通话, tt16606418,,对手, 郭京飞 / 谭卓 / 颜丙燕 / 宁理 / 孙佳雨 / 王天辰 / 刘帅良 / 何蓝逗 / 黄尧 / 张月 / 刘威葳 / 海一天 / 焦刚 / 赵滨 / 林鹏 / 路宏 / 张皓然 / 陶灏景 / 王婉娟 / 房子斌 / 巩峥 / 田岷 / 史奕 / 李宏磊 / 高睿菲儿 / 金志浩 / 姜峰 / 王鑫 / 周铁 / 从瑞麟 / 李明珠 / 刘涛 / 姚岗 / 程诚 / 孙弋惟 / 刘若谷 / 杨轶 / 王堃 / 满林 / 廉赛 / 吕清超 / 孙敏 / 李至强 / 陈靖可 / 肖龙 / 孙天宇 / 刘頔 / 陈斌 / 曾昂 / 刘骁元 / 李燕生 / 王晨 / 宁楚
6.9, 中国大陆, 于勇敢, 129分钟,219512, 刘伟强, 剧情 / 灾难, 中国·医生 / Chinese Doctors, 汉语普通话, tt13696296, 2021-07-09(中国大陆),中国医生, 张涵予 / 袁泉 / 朱亚文 / 李晨 / 易烊千玺 / 欧豪 / 周也 / 冯文娟 / 耿乐 / 梁大维 / 小爱 / 雅玫 / 杨祺如 / 叶禾 / 蒋林燕 / 梅婷 / 李沁 / 张天爱 / 宋佳 / 俞飞鸿 / 倪虹洁 / 冯绍峰 / 周笔畅 / 张颂文 / 张子枫 / 佟丽娅 / 谷嘉诚 / 刘威 / 刘佳 / 赵宁宇 / 王挺 / 余皑磊 / 黄璐 / 印小天 / 张嘉倪 / 释小龙 / 高戈 / 刘琳 / 来喜 / 万国鹏 / 王昭 / 石昊正
5.3, 中国大陆 / 中国香港 / 日本, 陈思诚 / 张淳 / 刘吾驷 / 莲舟 / 严以宁, 136分钟,993335, 陈思诚, 喜剧 / 悬疑, 唐探3 / Detective Chinatown 3, 汉语普通话 / 日语 / 英语 / 泰语, tt10370822, 2021-02-12(中国大陆),唐人街探案3, 王宝强 / 刘昊然 / 妻夫木聪 / 托尼·贾 / 长泽雅美 / 染谷将太 / 铃木保奈美 / 浅野忠信 / 三浦友和 / 尚语贤 / 肖央 / 张子枫 / 邱泽 / 张钧甯 / 马伯骞 / 程潇 / 陈哲远 / 李明轩 / 崔雨鑫 / 张一白 / 文咏珊 / 张熙然 / 克拉拉 / 树林伸 / 刘德华 / 陈思诚 / 平山日和 / 奥田瑛二 / 六平直政 / 酒向芳 / 秋山成勋 / 桥本爱实 / 长井短 / 宇治清高 / 张国强 / 大鹏 / 陈祉希 / 林沐然 / 田代良德
8.7, 中国大陆, 忻钰坤 / 冯元良 / 鲁妮凡, 110分钟(中国大陆) / 119分钟(威尼斯电影节),454436, 忻钰坤, 剧情 / 悬疑 / 犯罪, 殡棺 / The Coffin in the Mountain / Deep in the Heart, 汉语普通话, tt4078856, 2015-10-16(中国大陆) / 2014-07-21(FIRST青年影展) / 2014-08-28(威尼斯电影节),心迷宫, 霍卫民 / 王笑天 / 罗芸 / 杨瑜珍 / 孙黎 / 邵胜杰 / 曹西安 / 贾致钢 / 朱自清 / 王梓尘 / 赵梓彤 / 贾世忠 / 袁满 / 陈梅生 / 张景素 / 平坦 / 金子 / 张建军
7.7, 中国大陆, 大鹏, 80分钟,114594, 大鹏, 剧情 / 家庭, The Reunions, 汉语普通话, tt12735306, 2021-01-29(中国大陆) / 2020-07-26(上海电影节),吉祥如意, 王吉祥 / 大鹏 / 刘陆 / 王庆丽
7.5, 中国大陆, 管虎 / 葛瑞, 147分钟(公映版) / 160分钟(上海电影节),749810, 管虎, 剧情 / 历史 / 战争, 八百启示录 / 战争启示录之八百壮士 / The Eight Hundred, 汉语普通话 / 日语 / 英语, tt7294150, 2020-08-21(中国大陆) / 2020-08-14(大规模点映),八佰, 王千源 / 张译 / 姜武 / 黄志忠 / 张俊一 / 欧豪 / 杜淳 / 魏晨 / 张宥浩 / 唐艺昕 / 李九霄 / 李晨 / 梁静 / 侯勇 / 辛柏青 / 俞灏明 / 刘晓庆 / 姚晨 / 郑恺 / 余皑磊 / 黄晓明 / 徐嘉雯 / 张承 / 马精武 / 胡晓光 / 陆思宇 / 白恩 / 曹璐 / 刘云龙 / 杨嘉华 / 中泉英雄 / 高爽 / 郑伟 / 高冬平 / 黄米依 / 曹卫宇 / 宋洋 / 徐乐同 / 徐幸
